"","MKF","TS_DATE","VALUE","RETURNS","OUTLIER.TYPE"
"2","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2-Nov-18",0.032952,"-0.012289431089263","NJUMP"
"4","CDSP. TRADIG.USD.SNRFOR.MR14.060M","6-Nov-18",0.032156,"-0.031270711574381","NJUMP"
"6","CDSP. TRADIG.USD.SNRFOR.MR14.060M","8-Nov-18",0.03201,"-0.005220958418796","NJUMP"
"7","CDSP. TRADIG.USD.SNRFOR.MR14.060M","9-Nov-18",0.030753,"-0.039268978444236","NJUMP"
"10","CDSP. TRADIG.USD.SNRFOR.MR14.060M","14-Nov-18",0.028301,"-0.102040168797792","NJUMP"
"12","CDSP. TRADIG.USD.SNRFOR.MR14.060M","16-Nov-18",0.02925,"-0.013357619914997","NJUMP"
"15","CDSP. TRADIG.USD.SNRFOR.MR14.060M","21-Nov-18",0.030411,"-0.003669364086099","NJUMP"
"17","CDSP. TRADIG.USD.SNRFOR.MR14.060M","23-Nov-18",0.030152,"-0.019542808831659","NJUMP"
"18","CDSP. TRADIG.USD.SNRFOR.MR14.060M","26-Nov-18",0.029855,"-0.009850092862828","NJUMP"
"20","CDSP. TRADIG.USD.SNRFOR.MR14.060M","28-Nov-18",2.07033,"-0.041516551342913","NJUMP"
"21","CDSP. TRADIG.USD.SNRFOR.MR14.060M","29-Nov-18",2.0095,"-0.029381789376573","NJUMP"
