"","MKF","TS_DATE","VALUE","RETURNS","OUTLIER.TYPE"
"4","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-08-11",0.780370794376737,-22.6374009219507,"PJUMP"
"8","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-08-26",0.550451811123765,79.3416959676926,"PJUMP"
"11","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-10-01",0.397926652220848,92.9493499329238,"PJUMP"
"12","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-20",0.452942401145422,-17.0577653683108,"PJUMP"
"13","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-26",0.452322008226172,-3.5331745471125,"PJUMP"
"19","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-08-07",0.129431726389086,44.8857893669256,"PJUMP"
"22","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-02",1.11592844125882,-14.6692307916022,"PJUMP"
"28","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-08-14",1.4028389896601,-132.184755318928,"PJUMP"
"32","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-19",1.81657756979793,-72.8907136005655,"PJUMP"
"33","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-02-01",1.00787406199347,-51.799351841589,"PJUMP"
"36","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-03-28",1.260227102302,-6.93485886309781,"PJUMP"
"40","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-08-22",0.243200056612412,12.2757301936842,"PJUMP"
"41","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-27",0.989539739648564,18.5701599578119,"PJUMP"
"53","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-25",1.85249414075552,-60.3328107156976,"PJUMP"
"56","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-05",0.939032156770418,141.248264150413,"PJUMP"
"57","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-03-25",1.25334854811019,63.1134601890624,"PJUMP"
"60","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-06",0.415168693014712,-75.7225434461075,"PJUMP"
"64","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-09-10",0.864183359408074,0.46492232196924,"PJUMP"
"75","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-11",1.36761799313638,20.3596316783829,"PJUMP"
"76","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-02-25",1.06432724518631,90.9924420327199,"PJUMP"
"77","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-09-07",1.70817876890393,9.67599737562106,"PJUMP"
"78","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-04-07",1.31948369893421,70.2059029084079,"PJUMP"
"84","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-01-01",0.900669402197254,110.747820618294,"PJUMP"
"85","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-02-27",1.92524065846267,61.562764131297,"PJUMP"
"87","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2020-01-01",1.53351313190599,60.6931462506826,"PJUMP"
"89","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-09-05",0.956872333229302,10.6587444035932,"PJUMP"
"92","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-05-02",0.684105900128642,100.161200582967,"PJUMP"
"93","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-06-14",0.293945820500688,-85.2736060036991,"PJUMP"
"99","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-04",1.68907816846592,-51.089526031781,"PJUMP"
"100","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-23",0.956403775939278,22.6128743293295,"PJUMP"
"104","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-03-05",0.263487913606831,-8.4193398589004,"PJUMP"
"114","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-26",0.0793439620598129,21.3301951244159,"PJUMP"
"122","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-09-23",0.717396872977179,-4.80597038043066,"PJUMP"
"125","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-11-04",1.492809508191,-27.6100831440778,"PJUMP"
"126","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-02-03",1.98837767167442,112.44039850066,"PJUMP"
"132","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-31",1.21939054653556,23.0469863223996,"PJUMP"
"133","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-06-29",0.68768389817718,-92.646932798714,"PJUMP"
"146","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-04-27",0.575290522688812,45.6376121458553,"PJUMP"
"149","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-08-10",0.509362224762205,6.34970255310781,"PJUMP"
"152","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-07-10",0.947053085728754,-54.9433234847976,"PJUMP"
"156","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-12-20",2.06662387580229,-80.7956716783681,"PJUMP"
"159","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-10-11",0.319966079381323,-62.7209271592396,"PJUMP"
"160","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-10-07",1.09514253874305,154.763824001753,"PJUMP"
"161","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-11-18",1.55837760627755,45.6905168003825,"PJUMP"
"162","CDSP. TRADIG.USD.SNRFOR.MR14.060M","2019-11-25",0.434155244629674,-10.6737193264834,"PJUMP"
