"","TS_DATE"
"1","2019-09-25"
"2","2019-02-21"
"3","2019-11-16"
"4","2019-04-17"
"5","2019-11-26"
"6","2019-07-19"
"7","2019-05-12"
"8","2019-08-25"
"9","2019-01-11"
"10","2019-07-02"
"11","2019-12-13"
"12","2019-04-19"
"13","2019-12-11"
"14","2019-12-03"
"15","2019-12-11"
"16","2019-07-04"
"17","2019-08-31"
"18","2019-07-23"
"19","2019-11-20"
"20","2019-11-01"
"21","2019-04-27"
"22","2019-02-03"
"23","2020-01-01"
"24","2019-02-12"
"25","2019-05-13"
"26","2019-10-05"
"27","2019-01-22"
"28","2019-11-20"
"29","2019-10-13"
"30","2019-11-17"
"31","2019-07-26"
"32","2019-05-23"
"33","2019-02-26"
"34","2019-04-17"
"35","2019-05-20"
"36","2019-05-07"
"37","2019-08-29"
"38","2020-01-01"
"39","2019-08-27"
"40","2019-01-01"
"41","2019-01-10"
"42","2019-07-20"
"43","2019-05-17"
"44","2019-04-18"
"45","2019-12-02"
"46","2019-12-31"
"47","2019-12-06"
"48","2019-08-27"
"49","2019-06-20"
"50","2019-02-02"
"51","2019-05-14"
"52","2019-03-26"
"53","2019-01-24"
"54","2019-12-03"
"55","2019-08-07"
"56","2019-09-28"
"57","2019-08-15"
"58","2019-09-03"
"59","2019-12-22"
"60","2019-01-15"
"61","2019-04-16"
"62","2019-05-17"
"63","2019-03-12"
"64","2019-01-13"
"65","2019-01-31"
"66","2019-08-31"
"67","2019-07-27"
"68","2019-11-30"
"69","2019-07-26"
"70","2019-12-29"
"71","2019-01-20"
"72","2019-07-31"
"73","2019-01-03"
"74","2019-10-16"
"75","2019-10-10"
"76","2019-08-27"
"77","2019-06-04"
"78","2019-10-07"
"79","2019-11-11"
"80","2019-05-14"
"81","2019-06-24"
"82","2019-10-18"
"83","2019-05-03"
"84","2019-02-17"
"85","2019-06-11"
"86","2019-04-30"
"87","2019-10-02"
"88","2019-11-02"
"89","2019-06-20"
"90","2019-12-18"
"91","2019-02-07"
"92","2019-08-30"
"93","2019-08-16"
"94","2019-06-02"
"95","2019-10-09"
"96","2019-02-06"
"97","2019-09-27"
"98","2019-06-30"
"99","2019-05-26"
"100","2019-02-10"
"101","2019-03-11"
"102","2019-12-11"
"103","2019-11-11"
"104","2019-02-01"
"105","2019-04-22"
"106","2019-05-18"
"107","2019-05-31"
"108","2019-03-28"
"109","2019-11-01"
"110","2019-11-17"
"111","2019-01-19"
"112","2019-11-27"
"113","2019-06-30"
"114","2019-02-27"
"115","2019-12-22"
"116","2019-07-14"
"117","2019-08-31"
"118","2019-04-29"
"119","2019-12-26"
"120","2019-06-29"
"121","2019-07-02"
"122","2019-12-27"
"123","2019-07-02"
"124","2019-12-04"
"125","2019-09-05"
"126","2019-06-26"
"127","2019-08-28"
"128","2019-03-02"
"129","2019-10-08"
"130","2019-04-17"
"131","2019-07-18"
"132","2019-12-22"
"133","2019-01-06"
"134","2019-06-18"
"135","2019-02-08"
"136","2019-06-12"
"137","2019-01-07"
"138","2019-08-06"
"139","2019-12-09"
"140","2019-06-03"
"141","2019-09-01"
"142","2019-03-15"
"143","2019-11-07"
"144","2019-04-01"
"145","2019-06-19"
"146","2019-10-13"
"147","2019-05-08"
"148","2019-06-07"
"149","2019-06-18"
"150","2019-06-14"
"151","2019-11-09"
"152","2019-04-23"
"153","2019-06-26"
"154","2019-10-10"
"155","2019-10-06"
"156","2019-02-25"
"157","2019-12-28"
"158","2019-11-19"
"159","2019-01-18"
"160","2019-10-01"
"161","2019-09-08"
"162","2019-11-02"
"163","2019-11-08"
"164","2019-05-04"
"165","2019-10-07"
"166","2019-02-10"
"167","2019-04-03"
"168","2019-04-22"
"169","2019-12-08"
"170","2019-04-11"
"171","2019-07-10"
"172","2019-03-15"
"173","2019-05-18"
"174","2019-03-14"
"175","2019-04-10"
"176","2019-02-19"
"177","2019-01-02"
"178","2019-08-05"
"179","2019-02-09"
"180","2019-05-07"
"181","2019-08-02"
"182","2019-07-10"
"183","2019-10-10"
"184","2019-04-01"
"185","2019-11-06"
"186","2019-05-22"
"187","2019-09-17"
"188","2019-08-18"
"189","2019-01-03"
"190","2019-05-16"
"191","2019-02-06"
"192","2019-06-02"
"193","2019-02-01"
"194","2019-01-28"
"195","2019-01-14"
"196","2019-06-27"
"197","2019-06-28"
"198","2019-11-28"
"199","2019-09-30"
"200","2019-09-04"
"201","2019-10-14"
"202","2019-03-25"
"203","2019-10-10"
"204","2019-05-31"
"205","2019-12-10"
"206","2019-12-23"
"207","2019-10-16"
"208","2019-10-03"
"209","2019-10-21"
"210","2019-05-21"
"211","2019-08-02"
"212","2019-08-12"
"213","2019-02-22"
"214","2019-07-13"
"215","2019-10-12"
"216","2019-07-25"
"217","2019-06-15"
"218","2019-12-23"
"219","2019-12-04"
"220","2019-06-09"
"221","2019-09-27"
"222","2019-04-11"
"223","2019-08-06"
"224","2019-06-13"
"225","2019-07-13"
"226","2019-01-10"
"227","2019-09-22"
"228","2019-07-16"
"229","2019-07-30"
"230","2019-07-12"
"231","2019-01-04"
"232","2019-05-05"
"233","2019-08-07"
"234","2019-01-21"
"235","2019-08-10"
"236","2019-08-22"
"237","2019-04-14"
"238","2019-11-17"
"239","2019-07-26"
"240","2019-12-02"
"241","2019-02-25"
"242","2019-12-16"
"243","2019-11-10"
"244","2019-10-20"
"245","2019-06-27"
"246","2019-10-06"
"247","2019-01-26"
"248","2019-02-10"
"249","2019-03-29"
"250","2019-12-07"
"251","2019-09-28"
"252","2019-02-10"
"253","2019-09-30"
"254","2019-01-29"
"255","2019-10-29"
"256","2019-11-09"
"257","2019-08-31"
"258","2019-04-07"
"259","2019-05-10"
"260","2019-10-09"
"261","2019-12-21"
"262","2019-02-01"
"263","2019-03-11"
"264","2019-08-02"
"265","2019-04-13"
"266","2019-03-23"
"267","2019-09-19"
"268","2019-11-10"
"269","2019-08-20"
"270","2019-12-21"
"271","2019-04-21"
"272","2019-04-27"
"273","2019-03-08"
"274","2019-01-22"
"275","2019-08-18"
"276","2019-02-06"
"277","2019-09-23"
"278","2019-07-28"
"279","2019-01-10"
"280","2019-05-06"
"281","2019-06-28"
"282","2019-03-15"
"283","2019-04-25"
"284","2019-05-28"
"285","2019-07-09"
"286","2019-12-11"
"287","2019-08-04"
"288","2019-03-15"
"289","2019-02-28"
"290","2019-07-09"
"291","2019-07-23"
"292","2019-09-17"
"293","2019-09-30"
"294","2019-04-16"
"295","2019-01-27"
"296","2019-07-23"
"297","2019-04-01"
"298","2019-07-27"
"299","2019-01-09"
"300","2019-05-12"
"301","2019-08-01"
"302","2019-06-15"
"303","2019-05-21"
"304","2019-11-17"
"305","2019-12-20"
"306","2019-05-12"
"307","2019-05-27"
"308","2019-12-18"
"309","2019-08-29"
"310","2019-07-28"
"311","2019-12-22"
"312","2019-07-27"
"313","2019-09-26"
"314","2019-11-16"
"315","2019-05-19"
"316","2019-09-19"
"317","2019-10-27"
"318","2019-07-01"
"319","2019-09-09"
"320","2019-02-23"
"321","2019-07-20"
"322","2019-06-09"
"323","2019-03-26"
"324","2019-07-14"
"325","2019-02-03"
"326","2019-08-26"
"327","2019-09-17"
"328","2019-06-01"
"329","2019-08-16"
"330","2019-11-07"
"331","2019-02-03"
"332","2019-07-20"
"333","2019-09-13"
"334","2019-02-26"
"335","2019-03-30"
"336","2019-03-13"
"337","2019-05-27"
"338","2019-02-18"
"339","2019-05-11"
"340","2019-01-15"
"341","2019-03-10"
"342","2019-11-09"
"343","2019-10-28"
"344","2019-11-15"
"345","2019-06-11"
"346","2019-11-27"
"347","2019-07-01"
"348","2019-03-25"
"349","2019-03-14"
"350","2019-09-20"
"351","2019-09-11"
"352","2019-07-30"
"353","2019-07-31"
